file,matched_bigrams,sentence
BA_2007Q4.txt,"['efficient air', 'need military']",our commercial airplane product and service be help the grow economy of the world build out need infrastructure and provide business and consumer with safe efficient air travel and our defense business be help to meet the endure need of our military customer in an uncertain world
BA_2008Q1.txt,['commitment power'],in my most recent visit to edward last week i see good progress towards the completion of airplane one and meet our commitment for power on and first flight
BA_2008Q1.txt,['environmental concern'],commercial airplane demand globally remain strong and be be aid by high fuel price and environmental concern
BA_2008Q2.txt,['power successfully'],as you know power on be successfully complete last month
BA_2008Q2.txt,['new energy'],despite the minimal impact on our business so far we be concerned about the impact of energy price on our customer and we do expect that we could have more deferral and some cancellation as our customer continue to wrestle with the new energy reality
BA_2009Q4.txt,['reduce air'],the global recession have clearly affect our airline customer in the form of reduce air traffic growth and result capacity reduction
BA_2010Q1.txt,"['recovery ensure', 'efficient airplane']",have aggressively cut cost and capacity during the downturn many of our airline customer be position for this economic recovery by ensure that they have the most efficient airplane with which to compete
BA_2010Q2.txt,['extreme weather'],extreme weather ice and cruise performance testing have all be complete
BA_2010Q2.txt,['final ruling'],as i believe most of you know on june 30 the world trade organization issue its final ruling in the trade case against subsidy to airbus find every instance of launch aid challenge by the u.s. to be illegal and harmful to u.s. interest
BA_2011Q1.txt,['challenge electric'],our major partner there be manage challenge with electric power availability and stress infrastructure and transportation system but they be generally perform well
BA_2011Q1.txt,['solution air'],the tanker will be build in everett where an in line production process will ensure the good solution for the air force and the taxpayer
BA_2011Q2.txt,['efficient airplane'],it will be the most fuel efficient airplane in its segment and have the low operating cost while also meet customer need for range payload standardization reliability and fleet compatibility
BA_2011Q4.txt,"['drive retirement', 'efficient airplane']",demand in develop market also remain high drive by retirement and replacement of old less efficient airplane
BA_2011Q4.txt,['affordable reliable'],our portfolio of prove affordable and reliable system and service continue to advantage we in u.s. and international market
BA_2012Q1.txt,"['ensure fuel', 'efficient airplane']",the high cost of jet fuel remain a key concern for our customer and have they focus more than ever on ensure that they have the most fuel efficient airplane with which to compete a dynamic reflect in our solid first quarter order total
BA_2012Q1.txt,['affordable reliable'],while the potential for sequestration have create additional uncertainty we believe we be well position for continue success with our portfolio of prove affordable and reliable system and service our focus on innovation and strong execution across our program and our relentless effort to maximize efficiency and reduce infrastructure cost
BA_2012Q1.txt,['phase wind'],in addition to its sale momentum the 737 max achieve a major development milestone in february when we begin the final phase of wind tunnel testing
BA_2012Q1.txt,['receive air'],in february we mark a one year anniversary of receive the u.s. air force contract to build the kc-46a.
BA_2012Q2.txt,['efficient airplane'],we continue to focus on steadily increase production rate to deliver that backlog fast and create new capacity for customer want to get more efficient airplane into their fleet soon
BA_2012Q2.txt,['affordable reliable'],with our portfolio of prove affordable and reliable system and service combine with a track record of strong execution and innovation we believe we be well position for continue success in this constrain and challenging environment
BA_2012Q2.txt,['area autonomous'],in the unmanned system area the autonomous x-37b spacecraft return safely to earth after 469 day in orbit
BA_2012Q3.txt,['efficient airplane'],the strong core demand for commercial airplanes be support by both worldwide fleet growth and a healthy replacement cycle drive by the compelling economic and quick return on investment from replace old less efficient airplane with our new technology aircraft
BA_2012Q3.txt,['generation form'],so that would be an example of harvest a 787 technology apply technology in a second generation form combine it with a current system that be know understood the fuselage and system within the airplane to come up with something pretty special
BA_2012Q3.txt,['role design'],how do you see that profile and also everett 's role in that and also charleston 's role in both design and manufacture of both the 777x and 787 10x.
BA_2012Q4.txt,['noise emission'],they choose the 787 for its game change fuel efficiency its superior operating economic its unparalleled passenger experience and the low noise and emission it mean for community
BA_2012Q4.txt,['specifically electrical'],and also how do your supplier management organization keep tab specifically on all the electrical system component when your supplier have such autonomy and have so many far fling subcontractor
BA_2013Q1.txt,['design battery'],in short our battery system improvement include multiple layer of protection to prevent and isolate potential fault along with a new enclosure design to keep any battery event from affect the airplane or even be notice by passenger
BA_2013Q1.txt,['battery service'],immediately upon receive the faa ’s approval last week we begin the process of instal the improved battery system on the in service fleet while also implement the change on new airplane be readie for delivery in everett and charleston
