file,matched_bigrams,sentence
CVX_2024Q1.txt,['future energy'],early this month we announce our third future energy fund focus on venture investment in low carbon technology
CVX_2024Q1.txt,['premier energy'],this strategic combination create a premier energy company with world class capability and asset to deliver superior shareholder value and we look forward to bring the two company together
CVX_2024Q1.txt,['future energy'],give the launch of future energy fund iii can you provide insight into what success case emerge from funds i and ii that prompt this move
CVX_2024Q1.txt,['future energy'],the future energy funds focus on energy transition theme
CVX_2024Q1.txt,"['regard renewable', 'renewable portion']",regard the renewable portion of your portfolio you ’ve announce fid on a couple of renewable project one in biofuel and another in solar to hydrogen
CVX_2024Q1.txt,['policy renewable'],these undertaking be influence by government policy such as the renewable fuel standard and the inflation reduction act which differ from our traditional business model
CVX_2024Q1.txt,"['traditional energy', 'carbon energy']",while ongoing operation be crucial the policy environment be focus on reduce investment in traditional energy and foster low carbon energy solution
CVX_2024Q2.txt,['new energy'],we continue to advance growth opportunity in our traditional and new energy business by add new exploration play in west africa and south america achieve key milestone on the aces green hydrogen project and commission the geismar renewable diesel plant expansion which be expect to come online by the end of the year
CVX_2024Q2.txt,['carbon intensity'],in the gulf of mexico we ’re leverage our deepwater expertise with plan to deliver high cash margin low carbon intensity production growth
CVX_2024Q2.txt,['efficient unit'],our development have become more capital efficient unit drilling cost have come down and facility design be optimize for high return
CVX_2024Q2.txt,['transition renewable'],this maybe transition we to renewable fuel where these be market that be heavily influence not just by supply and demand but also by policy because a lot of the value be drive through the credit associate with those
CVX_2024Q2.txt,"['fuel create', 'carbon energy']",we think drop in renewable fuel be go to be part of create a low carbon energy system in the future
CVX_2024Q3.txt,"['carbon intensity', 'greenhouse gas', 'gas emission']",our operation in colorado be among the low carbon intensity in the industry benefit from tankless production facility that low greenhouse gas emission by 90 compare to old design
CVX_2024Q3.txt,"['greenhouse gas', 'gas emission', 'grid power']",where possible we utilize grid power rig that reduce more than 60 of our on site greenhouse gas emission from drilling
CVX_2024Q4.txt,['energy expand'],this include outstanding performance in the permian exceed expectation with production growth of nearly 18 from last year deliver key project start up in the gulf of america fully integrate pdc energy expand our position in the dj basin optimize our portfolio through asset sale and swap that maximize long term value and complete wpmp and achieve first oil at the future growth project at tco last week
CVX_2024Q4.txt,"['new energy', 'lower carbon', 'carbon intensity']",we continue to build our new energy business and complete project to lower the carbon intensity of our operation
CVX_2024Q4.txt,['new energy'],inorganic capex of $ 530 million relate mostly to lease acquisition and new energy investment
CVX_2024Q4.txt,['plant decade'],in western australia our discover resource have the ability to keep our lng plant full for decade
CVX_2024Q4.txt,['capture storage'],in carbon capture and storage bayou bend be work towards a feed decision for the offshore project and we ’re also develop plan to capture and store co2 from our pascagoula refinery
CVX_2024Q4.txt,"['nearly gigawatt', 'ghg emission']",chevron be position to participate in this growth and generate competitive return through integration with our u.s. natural gas business experience in building and operate nearly five gigawatt of reliable behind the meter power and expertise in technology that can help provide a pathway to reduce ghg emission
CVX_2024Q4.txt,['carbon energy'],so neil i would tell you you should think of this as be align with what we have say we be look to do which be leverage our strength to advance low carbon energy solution to meet demand growth in the world
CVX_2024Q4.txt,['nearly gigawatt'],we operate nearly 5 gigawatt of reliable and at scale power today at gorgon at tco and refinery
CVX_2024Q4.txt,['power player'],we have say we do not envision ourselves as a merchant power player and we still do not
CVX_2024Q4.txt,['grid country'],importantly the last thing i will say be i think most of the people on the call be familiar with the challenge that the grid in this country face right now and ensure we keep the supply of electricity reliable into the economy as it stand today
CVX_2024Q4.txt,['grid meter'],do this off the grid and behind the meter do not far tax an already tax distribution infrastructure and it do not put this investment cost into the rate base and drive up cost for consumer as well
