doc,matched_bigrams,sentence,coder1_is_climate_1or0,coder2_is_climate_1or0
GM_2024Q4,electric vehicle; regard electric,paul you have clarify that the guidance for policy especially regard electric vehicle remain unchanged,,
DUK_2021Q2,electric vehicle; scale solar; solar energy; vehicle charge,the significant agreement include the continue expansion of utility scale solar energy storage new electric vehicle charge station program and provide rate certainty to benefit customer,,
NEE_2011Q3,megawatt include; megawatt canadian,look beyond 2012 our current backlog of already contract wind project for 2013 and 2014 be 593 megawatt which include 469 megawatt of canadian project that we talk about last quarter as well as an additional canadian project of 124 megawatt that we have previously include in our 2012 backlog but now,,
WMT_2015Q4,environmental sustainability,this drive our approach to global responsibility in area like environmental sustainability woman ’s economic empowerment and offer healthy food choice,,
CVX_2020Q3,carbon price,we do not disclose our carbon price forecast,,
DUK_2008Q3,clean air,they be mark to market adjustment at commercial power an impairment on emission allowance due to the invalidation of the clean air interstate rule or cair and real estate project impairment at crescent,,
NEE_2025Q1,supplier globe,and then the third point that i would make be that the u.s. still remain an extremely attractive market to supplier across the globe mean that they have a lot of margin when they deliver into the u.s. and when we put those three thing together i lose no sleep over whether or not our supplier will fo,,
DUK_2013Q1,energy case,my judgment be that there ’s adequate testimony underpin the 10.5 roe in the duke energy case that be remand back,,
MMM_2010Q3,example energy,as example energy and advanced materials rise to 25 abrasives be up 18 automotive oem be up 17 and industrial adhesives and tapes which be our large business be up 13,,
SO_2011Q1,wind energy,although we be not particularly optimistic about wind energy we be still consider some application off the coast of georgia and florida,,
CVX_2023Q1,large carbon,achieve important milestone on our major project in kazakhstan continue to build activity level in the permian position bayou bend to be one of the large carbon storage project in the united states and safely and reliably deliver oil product and natural gas that help power the global economy,,
NEE_2022Q4,transform generation; achieve energy; energy independence,by transform our generation fleet and persist with our fuel switch strategy we will not only help customer maintain low bill but also assist florida in achieve energy independence,,
D_2019Q2,bridgeport connecticut; wind facility,for instance we sell a 15 megawatt fuel cell asset in bridgeport connecticut for $ 35 million and we also divest our interest in the nedpower wind facility in west virginia although the amount be not disclose,,
COP_2025Q2,demand shale,if the demand for shale production increase we can far leverage our low 48 asset which we have n’t maximize yet due to current market condition,,
DUK_2011Q1,information environmental; environmental initiative; energy sustainability,additional information on our environmental initiative and sustainability plan be contain in a recently release duke energy sustainability report now available on our website,,
NEE_2016Q2,turbine total,second it provide an 80 20 rule by which a repowered wind turbine may qualify for new tenure ptc period if the cost of the new equipment incorporate into the turbine be at least 80 of the turbine total value,,
NEE_2014Q3,resource nep,until that time from an accounting perspective we defer all the accounting gain that be record on the transfer of asset from energy resource to nep,,
DUK_2008Q2,modernize grid,i feel very good about the progress we be make towards our goal of modernize our fleet and modernize our grid,,
D_2023Q1,clean energy; solar energy,i be very pleased that the sec in april approve our most recent clean energy filing which include nearly 800 megawatt of solar and energy storage capacity our sixth consecutive such approval,,
DUK_2012Q1,renewable solar,we also continue to grow our renewable solar business target the addition of around 25 to 50 megawatt in new capacity this year,,
OXY_2019Q1,emission reduce; total carbon,we be currently work to advance the midwest industrial carbon capture strategy that can capture a significant amount of industrial emission and reduce our total carbon impact through the use of the co2 in our enhanced oil recovery operation,,
NEE_2015Q3,addition renewable; renewable origination,in addition our renewable origination result remain very strong,,
CVX_2023Q2,capture storage; include hydrogen,other thing we be work on include hydrogen both electrolytic hydrogen and traditional hydrogen pair with carbon capture and storage,,
PFE_2012Q2,manager primary,i be join today by our chairman and ceo ian read frank d'amelio our cfo olivier brandicourt president and general manager of emerging markets and established products mikael dolsten president of worldwide r&d geno germano president and general manager of specialty care and oncology amy schulman gene,,
DUK_2017Q4,clean energy; make grid; grid renewable; renewable clean,so indiana ohio multiyear rate plan in florida all of those be very well suit to work with the type of investment that we be make in the grid and renewable clean energy etc,,
D_2020Q4,vineyard wind,we be encourage by the incremental funding appropriate to boem late last year with the specific direction to augment the agency 's resource to process offshore wind permit as well as boem 's recent recommencement of process the vineyard wind application,,
SO_2022Q1,clear solar,in the southeast it be clear to i that solar be a dominant renewable strategy in the long run despite any perturbation that we may see from this investigation,,
SO_2021Q2,fuel use,we need to put all the system necessary to get nuclear fuel in there and use that as the heat source,,
SO_2011Q1,significant environmental,we will either manage and add a significant amount of environmental equipment,,
CVX_2025Q3,efficient program,while new well may have a peak production profile over time as we move from many individual well to large number we encounter a flat production curve with minimal decline which we can mitigate through our capital efficient program,,
SO_2010Q1,supply energy,on the positive side of commercial sale electricity demand by data center be up 6.9 reflect the decision to locate these business in the southeast due to low cost and reliable supply of energy,,
SO_2011Q3,plant ratcliffe,for these reason we believe we be in a strong position and we maintain the same oversight on the plant ratcliffe kemper county project that we do on vogtle,,
NEE_2011Q4,robo president; armando olivera,join we this morning be lew hay nextera energy 's chairman and chief executive officer jim robo president and chief operating officer of nextera energy moray dewhurst vice chairman and chief financial officer of nextera energy armando olivera chief executive officer of florida power light company an,,
CVX_2020Q4,diversification energy,and i think that be we hope that they can and we want to see the diversification of the energy mix to meet grow demand around the world and low carbon,,
